observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2012-11-06,26,40,4,1010,0.0,5,9.7,48
2012-11-07,26,39,6,1011,0.0,5,9.7,48
2012-11-08,26,40,5,1010,0.0,5,9.7,48
2012-11-09,26,41,5,1011,0.0,5,9.7,48
2012-11-10,26,43,6,1012,0.0,5,9.7,48
2012-11-11,27,42,5,1012,0.0,4,9.7,47
2012-11-12,26,44,8,1012,0.0,4,9.7,47
2012-11-13,25,42,4,1013,0.0,4,9.7,47
2012-11-14,26,39,4,1012,0.0,4,9.7,47
2012-11-15,25,39,7,1012,0.0,5,9.7,42
2012-11-16,24,29,8,1014,0.0,5,9.7,43
2012-11-17,24,26,9,1013,0.0,5,9.7,43
2012-11-18,24,28,8,1012,0.0,5,9.7,43
2012-11-19,22,25,11,1012,0.0,5,9.7,43
2012-11-21,25,35,4,1012,0.0,5,9.7,44
2012-11-22,26,34,4,1011,0.0,5,9.7,44
2012-11-23,26,30,6,1012,0.0,5,9.7,43
2012-11-24,26,31,4,1011,0.0,5,9.7,44
2012-11-25,27,38,5,1012,0.0,5,9.7,42
2012-11-26,27,39,4,1012,0.0,5,9.7,45
2012-11-27,27,36,4,1011,0.0,5,9.7,41
2012-11-28,26,29,6,1012,0.0,5,9.7,44
2012-11-29,25,24,6,1011,0.0,5,9.7,43
2012-11-30,25,30,4,1012,0.0,5,9.7,41
2012-12-01,26,33,3,1011,0.0,5,9.6,41
2012-12-02,26,40,4,1012,0.0,5,9.6,42
2012-12-03,25,40,7,1012,0.0,5,9.6,44
2012-12-04,24,34,10,1012,0.0,5,9.6,45
2012-12-05,25,36,9,1012,0.0,5,9.6,45
2012-12-06,26,49,7,1013,0.0,4,9.6,45
