observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2019-02-02,24,28,11,1013,0.0,4,10.1,40
2019-02-03,25,34,8,1014,0.0,4,10.1,41
2019-02-04,26,31,14,1016,0.0,4,10.1,42
2019-02-05,26,34,9,1015,0.0,5,10.1,43
2019-02-06,24,37,12,1012,0.0,5,10.1,45
2019-02-07,20,50,21,1014,0.0,5,10.1,42
2019-02-08,18,39,12,1016,0.0,5,10.1,43
2019-02-09,19,20,8,1016,0.0,5,10.1,40
2019-02-10,23,16,11,1016,0.0,5,10.1,40
2019-02-11,25,24,8,1015,0.0,5,10.1,44
2019-02-12,27,31,10,1015,0.0,4,10.1,43
2019-02-14,26,33,11,1013,0.0,4,10.1,43
2019-02-15,24,32,13,1014,0.0,5,10.1,43
2019-02-16,25,26,5,1015,0.0,5,10.1,42
2019-02-17,25,23,10,1013,0.0,5,10.1,45
2019-02-18,26,19,10,1011,0.0,5,10.1,45
2019-02-19,29,19,8,1012,0.0,5,10.1,43
2019-02-20,29,21,13,1013,0.0,5,10.1,41
2019-02-21,28,33,10,1016,0.0,5,10.1,41
2019-02-22,28,29,10,1014,0.0,5,10.1,42
2019-02-23,29,24,11,1012,0.0,5,10.1,41
2019-02-24,27,18,15,1011,0.0,5,10.1,41
2019-02-25,26,20,15,1011,0.0,5,10.1,45
2019-02-26,24,30,20,1010,0.0,5,10.1,44
2019-02-27,23,41,17,1011,0.0,5,10.1,45
2019-02-28,24,30,8,1012,0.0,5,10.1,42
2019-03-01,26,23,11,1011,0.0,5,10.7,31
2019-03-02,28,26,16,1010,0.0,5,10.7,30
2019-03-03,25,48,16,1011,0.0,5,10.7,34
2019-03-04,24,58,18,1010,0.0,5,10.7,34
