observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2019-12-14,23,51,9,1015,0.0,5,9.6,45
2019-12-15,24,52,8,1014,0.0,5,9.6,44
2019-12-17,23,56,10,1015,0.0,4,9.6,40
2019-12-18,23,53,8,1016,0.0,5,9.6,40
2019-12-19,24,46,7,1014,0.0,5,9.6,42
2019-12-20,24,52,6,1013,0.0,5,9.6,43
2019-12-21,24,43,6,1012,0.0,5,9.6,41
2019-12-22,24,50,10,1013,0.0,4,9.6,42
2019-12-23,24,57,11,1012,0.0666666666666666,3,9.6,45
2019-12-24,25,58,8,1013,0.133333333333333,3,9.6,50
2019-12-25,24,68,4,1013,0.0,3,9.6,40
2019-12-26,23,56,7,1012,0.0,4,9.6,41
2019-12-27,21,49,13,1012,0.0,5,9.6,42
2019-12-28,21,55,18,1013,0.0,5,9.6,42
2019-12-29,21,54,12,1013,0.0,4,9.6,42
2019-12-30,22,52,10,1012,0.0,5,9.6,41
2019-12-31,21,44,8,1013,0.0,5,9.6,40
2020-01-01,21,42,11,1012,0.0,4,9.8,42
2020-01-02,22,47,10,1014,0.0,4,9.8,42
2020-01-03,20,41,9,1014,0.0,4,9.8,43
2020-01-04,21,49,6,1013,0.0,4,9.8,40
2020-01-05,20,49,16,1013,0.0,4,9.8,45
2020-01-06,23,52,13,1014,0.0,4,9.8,40
2020-01-07,23,52,13,1012,0.0,4,9.8,44
2020-01-08,22,62,14,1012,0.0,4,9.8,40
2020-01-09,21,40,8,1013,0.0,4,9.8,44
2020-01-10,20,52,17,1013,0.0,4,9.8,41
2020-01-11,22,45,12,1014,0.0,4,9.8,40
2020-01-12,24,44,11,1013,0.0,4,9.8,43
2020-01-13,22,63,13,1011,0.0,3,9.8,41
