epoch,loss,accuracy,val_loss,val_accuracy
1,9.8507,0.3192,8.9879,0.3964
2,6.0654,0.5072,3.8592,0.6216
3,2.6325,0.7030,2.0459,0.7748
4,1.7146,0.7931,1.3241,0.8108
5,0.8635,0.8554,1.4900,0.8153
6,0.5886,0.9110,1.0690,0.8378
7,0.3277,0.9255,0.7392,0.9054
8,0.3861,0.9210,1.8482,0.7973
9,0.3675,0.9244,0.8911,0.8559
10,0.2226,0.9433,0.7084,0.8964
11,0.7003,0.8721,2.1717,0.7297
12,0.6564,0.8865,1.1195,0.8468
13,0.5837,0.9143,1.1299,0.8288
14,0.2802,0.9477,0.5394,0.9099
15,0.1066,0.9655,0.6066,0.8874
16,0.0746,0.9822,0.4333,0.9414
17,0.0389,0.9922,0.4284,0.9414
18,0.0109,0.9967,0.4274,0.9414
19,0.0074,0.9978,0.4274,0.9414
20,0.0068,0.9989,0.4257,0.9324
