epoch,loss,accuracy,val_loss,val_accuracy
1,7.6472,0.4494,6.9009,0.4865
2,3.0807,0.6574,3.3820,0.6441
3,2.1598,0.7653,1.6860,0.7793
4,0.7960,0.8676,1.2006,0.7883
5,0.5077,0.9032,0.7417,0.8649
6,0.2736,0.9399,0.7396,0.8739
7,0.1609,0.9644,0.5943,0.8919
8,0.1248,0.9744,0.4746,0.8919
9,0.0766,0.9755,0.4221,0.9054
10,0.0297,0.9867,0.3892,0.9144
11,0.0287,0.9889,0.3747,0.9234
12,0.0129,0.9956,0.3239,0.9369
13,0.0095,0.9967,0.3015,0.9369
14,0.0091,0.9978,0.3346,0.9324
15,0.0062,0.9989,0.2876,0.9414
16,0.0040,1.0000,0.3013,0.9505
17,0.0030,1.0000,0.3015,0.9505
18,0.0016,1.0000,0.2903,0.9505
19,0.0014,1.0000,0.2958,0.9459
20,0.0014,1.0000,0.2991,0.9459
