epoch,loss,accuracy,val_loss,val_accuracy
1,2.8744,0.3259,1.1085,0.5856
2,1.1975,0.6440,0.8361,0.7027
3,0.7582,0.7319,0.7914,0.7342
4,0.6804,0.7653,0.7501,0.7117
5,0.5437,0.8087,0.6610,0.7658
6,0.4772,0.8309,0.6246,0.7568
7,0.3992,0.8676,0.4834,0.7793
8,0.3255,0.8899,0.5547,0.8108
9,0.2971,0.8888,0.3881,0.8559
10,0.2282,0.9388,0.4034,0.8153
11,0.2096,0.9388,0.3123,0.8874
12,0.1564,0.9666,0.3003,0.8874
13,0.1993,0.9422,0.3494,0.8649
14,0.1520,0.9633,0.2771,0.9099
15,0.1102,0.9878,0.2393,0.9144
16,0.1038,0.9855,0.2407,0.9369
17,0.0894,0.9933,0.2263,0.9234
18,0.0828,0.9967,0.2236,0.9369
19,0.1039,0.9833,0.2302,0.9144
20,0.0871,0.9855,0.2160,0.9234
