#date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2014-02-05,0,20,68,4,7,44,NE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,41,10,6,1010,30,0,20,68,6,43,20,68,9,14,20,68
2014-02-05,100,20,67,4,7,54,NE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,41,10,6,1010,30,0,20,67,6,43,20,67,9,15,20,67
2014-02-05,200,19,66,4,7,63,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,42,10,6,1010,30,0,19,66,6,43,19,66,9,15,19,66
2014-02-05,300,19,66,4,7,73,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,43,10,6,1010,30,0,19,66,6,43,19,66,9,15,19,66
2014-02-05,400,20,68,4,7,72,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,41,10,6,1011,30,0,20,69,6,43,20,68,8,13,20,68
2014-02-05,500,21,70,4,7,71,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,39,10,6,1011,30,0,22,72,6,43,21,70,7,12,21,70
2014-02-05,600,22,71,4,7,70,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,37,10,6,1012,30,0,24,75,6,44,22,71,6,10,22,71
2014-02-05,700,25,77,5,7,83,E,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,31,10,6,1012,30,0,25,78,6,43,25,77,6,10,25,78
2014-02-05,800,28,82,5,8,96,E,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,25,10,6,1012,30,0,27,81,6,42,28,82,6,9,27,81
2014-02-05,900,31,88,5,8,110,ESE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,20,10,6,1011,30,0,29,84,5,41,31,88,6,9,29,84
2014-02-05,1000,32,90,4,7,112,ESE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,18,10,6,1010,30,1,30,86,5,41,32,90,5,8,30,86
2014-02-05,1100,33,92,4,6,115,ESE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,17,10,6,1009,30,1,31,88,5,41,33,92,4,7,31,88
2014-02-05,1200,35,94,3,5,117,ESE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,16,10,6,1009,30,2,33,91,5,41,35,94,4,6,33,91
2014-02-05,1300,34,92,3,5,104,ESE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,17,10,6,1008,30,2,32,89,5,41,34,92,3,6,32,89
2014-02-05,1400,33,91,3,4,91,E,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,17,10,6,1008,30,3,31,87,5,40,33,91,3,5,31,87
2014-02-05,1500,32,89,2,4,79,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,18,10,6,1008,30,4,30,85,5,40,32,89,3,4,30,85
2014-02-05,1600,29,84,2,4,67,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,22,10,6,1008,30,4,28,82,5,41,29,84,4,6,28,82
2014-02-05,1700,26,79,3,4,55,NE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,27,10,6,1009,30,4,26,79,5,41,26,79,5,8,26,79
2014-02-05,1800,24,74,3,5,44,NE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,31,10,6,1010,30,4,24,75,5,42,24,74,6,10,24,75
2014-02-05,1900,23,73,3,6,56,NE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,32,10,6,1010,30,3,24,75,5,42,23,73,7,12,24,75
2014-02-05,2000,22,72,4,6,67,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,33,10,6,1010,30,1,24,75,5,42,22,72,8,13,24,75
2014-02-05,2100,22,71,4,7,79,E,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,34,10,6,1010,30,0,24,74,5,42,22,71,9,15,22,71
2014-02-05,2200,21,70,5,7,78,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,35,10,6,1010,30,0,22,72,5,41,21,70,10,15,21,70
2014-02-05,2300,21,69,5,7,77,ENE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,35,10,6,1010,30,0,21,70,5,41,21,69,10,16,21,69
