observation,tempC_7to8,tempC_1to2,tempC_6to7,humidity_7to8,humidity_1to2,humidity_6to7,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,precipMM_7to8,precipMM_1to2,precipMM_6to7,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7
2010-01-01,20,30,20,42,33,59,9,2,4,1015,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-02,23,29,23,49,40,62,9,3,3,1015,1013,1015,0.0,0.0,0.0,Clear,Partly cloudy,Partly cloudy
2010-01-03,24,27,21,61,50,78,4,8,6,1017,1014,1015,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Partly cloudy
2010-01-04,23,29,20,57,30,52,5,7,6,1016,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-05,22,30,21,48,34,54,6,2,4,1013,1010,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-06,22,31,21,40,24,42,8,4,6,1014,1010,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-07,21,30,19,39,27,50,8,4,4,1014,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-08,22,29,18,36,25,53,7,2,2,1015,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-09,21,29,18,36,27,49,8,3,4,1015,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-10,22,29,22,40,32,48,10,4,2,1015,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-11,24,28,23,56,50,70,9,5,3,1014,1012,1014,0.0,0.0,0.2,Clear,Patchy rain possible,Patchy rain possible
2010-01-12,24,29,20,64,34,62,5,14,7,1015,1012,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-13,22,27,18,55,24,37,5,8,7,1018,1015,1017,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-14,19,29,20,27,25,43,9,6,9,1019,1016,1017,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-15,21,31,21,40,27,46,9,3,8,1020,1016,1018,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-16,23,30,23,52,30,47,7,2,3,1020,1017,1018,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-17,24,30,22,50,25,49,4,6,3,1020,1017,1017,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-18,23,29,23,50,29,40,5,2,5,1019,1015,1016,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-19,22,31,20,33,23,41,7,2,5,1017,1013,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-20,22,29,22,31,29,44,7,2,1,1018,1015,1017,0.0,0.0,0.0,Clear,Sunny,Partly cloudy
2010-01-21,22,32,20,30,21,39,7,4,5,1018,1014,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-22,22,32,19,21,19,46,7,2,1,1017,1014,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-23,22,31,19,23,17,45,6,3,3,1017,1013,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-24,23,31,19,34,20,42,2,4,4,1015,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-25,23,30,20,28,20,33,7,5,6,1015,1013,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-26,22,30,18,33,21,48,8,4,2,1016,1014,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-27,23,28,21,34,24,34,7,6,3,1017,1014,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-28,21,28,21,26,24,38,6,3,3,1017,1014,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-29,25,31,20,30,19,42,4,3,4,1017,1014,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-30,23,31,23,37,22,36,7,1,4,1017,1014,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-01-31,25,31,21,30,20,45,4,7,6,1016,1013,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-01,25,30,21,37,25,50,3,9,6,1015,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-02,24,30,21,42,23,47,2,9,7,1015,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-03,25,30,21,39,25,49,3,8,7,1014,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-05,26,31,23,41,26,48,4,6,5,1016,1012,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-06,25,32,23,37,22,40,7,4,0,1017,1013,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-07,25,33,23,35,21,40,7,4,1,1017,1012,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-08,26,31,22,37,24,50,2,9,9,1014,1010,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-09,23,29,22,53,31,48,6,9,6,1013,1010,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-10,23,29,21,56,34,56,3,3,6,1013,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-11,21,29,21,58,33,61,4,8,6,1015,1012,1014,0.0,0.0,0.0,Patchy light drizzle,Partly cloudy,Sunny
2010-02-12,24,30,21,51,24,46,4,10,8,1015,1012,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-13,25,31,21,30,17,34,3,14,7,1015,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-14,25,31,20,21,13,28,4,14,5,1013,1009,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-15,23,30,22,22,19,29,3,7,6,1014,1010,1012,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Sunny
2010-02-16,26,31,24,16,17,21,4,10,6,1014,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-17,26,35,23,14,12,19,6,7,6,1016,1012,1015,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-18,26,34,23,15,13,30,6,9,6,1016,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-19,27,34,22,15,9,19,4,13,6,1015,1012,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-20,29,35,23,9,10,22,4,12,6,1015,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-21,28,36,25,12,13,27,6,7,6,1015,1011,1013,0.0,0.0,0.0,Clear,Sunny,Partly cloudy
2010-02-22,28,33,23,29,20,32,3,11,7,1014,1011,1012,0.0,0.0,0.0,Clear,Partly cloudy,Sunny
2010-02-23,26,31,21,39,18,34,5,15,7,1014,1010,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-24,24,30,20,54,20,50,5,11,7,1013,1009,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-25,25,33,21,36,14,48,2,7,7,1014,1009,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-26,26,37,23,29,12,32,5,4,4,1014,1011,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-27,29,38,25,17,11,26,4,2,5,1014,1011,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-02-28,29,38,26,16,11,23,3,3,6,1014,1010,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-01,30,37,25,17,14,27,3,6,6,1014,1011,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-02,30,37,25,19,14,31,3,6,8,1014,1009,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-03,27,33,23,33,18,30,7,15,8,1013,1010,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-04,27,33,23,41,16,35,3,11,7,1013,1009,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-05,27,34,24,46,22,45,2,11,7,1013,1010,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-06,26,31,23,54,29,53,7,15,7,1014,1012,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-07,25,32,21,44,15,31,6,12,6,1016,1012,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-08,28,35,24,22,11,33,4,9,6,1015,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-09,30,38,27,17,12,23,5,8,7,1015,1010,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-11,31,34,28,38,27,43,5,4,8,1015,1013,1015,0.0,0.0,0.2,Patchy light rain with thunder,Thundery outbreaks possible,Patchy light rain with thunder
2010-03-12,32,35,27,32,23,39,4,4,2,1017,1013,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-13,33,38,27,19,12,20,2,9,7,1015,1011,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-14,31,35,25,19,10,23,7,15,6,1013,1010,1012,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-15,29,35,25,27,13,35,5,9,6,1013,1009,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-16,32,40,26,23,10,32,3,3,6,1013,1009,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-17,33,40,27,25,10,26,3,2,5,1015,1011,1013,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-18,32,39,30,14,13,24,8,3,3,1015,1012,1014,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-19,34,41,31,17,11,22,4,3,5,1015,1010,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-20,34,42,28,18,9,24,3,1,4,1013,1009,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-21,34,42,29,21,10,18,4,4,6,1012,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-22,33,40,27,17,9,19,6,8,8,1009,1005,1006,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-23,31,37,25,24,9,23,6,11,8,1008,1004,1006,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-24,30,36,25,26,13,31,7,14,9,1009,1006,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-25,30,36,26,36,14,34,5,13,8,1010,1006,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-26,31,36,26,31,14,35,5,14,8,1011,1007,1009,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-27,31,37,26,32,14,30,3,10,8,1012,1008,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-28,32,41,28,26,11,32,3,5,8,1012,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-29,29,37,27,39,16,25,6,11,9,1012,1009,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-30,28,35,24,33,12,42,11,17,9,1013,1009,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-03-31,28,34,24,47,24,61,8,17,9,1012,1008,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-01,26,32,25,50,26,58,12,15,8,1012,1008,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-02,28,35,26,51,18,39,7,14,6,1011,1008,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-03,31,35,25,31,9,22,6,14,6,1012,1009,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-04,31,37,26,24,8,21,4,12,6,1012,1009,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-05,34,39,28,18,8,20,3,8,7,1012,1008,1009,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-06,35,41,29,15,8,23,3,7,6,1011,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
