observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Bacterial Blight/Telya,Anthracnose,Fruit Spot/Rot,Fusarium Wilt,Fruit Borer/Blight Blora
2023-01-31,21,24,4,1018,0.3319635218910316,4,10.16061799923064,50,0,0,0,0,0
2023-02-01,21,23,4,1018,0.3312550286253969,4,10.211051282847752,50,0,0,0,0,0
2023-02-02,21,23,4,1018,0.34584869137669166,4,10.172449627675205,50,0,0,0,0,0
2023-02-03,21,23,4,1018,0.3096422419220298,4,10.177589692229146,50,0,0,0,0,0
2023-02-04,22,22,4,1018,0.36732581845103385,4,10.102682253609801,50,0,0,0,0,0
2023-02-05,22,22,4,1018,0.32736919401012676,4,10.086867613703099,51,0,0,0,0,0
2023-02-06,22,21,4,1018,0.3259461856120238,4,10.058754460030386,51,0,0,0,0,0
2023-02-07,22,21,4,1018,0.345454344655317,4,10.058436574601629,51,0,0,0,0,0
2023-02-08,22,20,4,1018,0.33987427829153993,4,10.082261491203797,51,0,0,0,0,0
2023-02-09,23,20,4,1018,0.34937105055877243,4,10.023842343144286,51,0,0,0,0,0
2023-02-10,23,20,4,1018,0.30801056331141313,4,10.016727157294037,51,0,0,0,0,0
2023-02-11,23,19,4,1018,0.3606520561042803,4,9.937661395767915,52,0,0,0,0,0
2023-02-12,23,19,4,1018,0.31592987389997457,4,9.926065077470671,51,0,0,0,0,0
2023-02-13,23,19,4,1017,0.31017258886854965,4,9.910561281461193,52,0,0,0,0,0
2023-02-14,24,19,4,1017,0.32591774444506433,4,9.930990775946423,51,0,0,0,0,0
2023-02-15,24,18,4,1017,0.31726672718513577,4,9.983186968770061,51,0,0,0,0,0
2023-02-16,24,18,4,1017,0.32448235470521314,4,9.960002258226833,51,0,0,0,0,0
2023-02-17,24,18,4,1017,0.2817021984152058,4,9.993999622577906,51,0,0,0,0,0
2023-02-18,24,18,4,1017,0.3338288744784602,4,9.960744589917319,51,0,0,0,0,0
2023-02-19,25,18,4,1017,0.28951051884802603,4,9.998318038279898,50,1,0,0,0,0
2023-02-20,25,17,4,1016,0.28505957034631924,4,10.033885549310419,50,1,0,0,0,0
2023-02-21,25,17,4,1016,0.3029681372865366,4,10.105756816841204,49,1,0,0,0,0
2023-02-22,25,17,4,1016,0.2972644300268924,4,10.2082079374968,49,1,0,0,0,0
2023-02-23,25,17,4,1016,0.30811279494113064,4,10.232556208629875,48,1,0,0,0,0
2023-02-24,25,17,4,1016,0.2695302878304487,4,10.309899777899302,48,1,0,0,0,0
2023-02-25,25,16,4,1016,0.3262809142627866,4,10.31445579714305,47,1,0,0,0,0
2023-02-26,25,16,5,1016,0.28686062490239966,4,10.383116092111475,47,0,0,0,0,0
2023-02-27,25,16,5,1015,0.2874210442594781,4,10.44205472796613,46,0,0,0,0,0
2023-02-28,25,16,5,1015,0.3102900496968194,4,10.528819764862062,46,0,0,0,0,0
2023-03-01,25,16,5,1015,0.3093335163468375,4,10.637180997603238,45,0,0,0,0,0
