observation,tempC_7to8,tempC_1to2,tempC_6to7,humidity_7to8,humidity_1to2,humidity_6to7,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,precipMM_7to8,precipMM_1to2,precipMM_6to7,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7
2018-01-01,22,26,20,38,28,44,5,11,9,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-02,21,28,21,39,25,38,10,4,6,1012,1010,1011,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-03,20,28,22,41,27,45,12,5,4,1014,1011,1013,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-04,22,28,21,39,26,49,6,4,8,1015,1012,1013,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-05,22,27,20,43,27,44,4,7,10,1014,1011,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-06,22,26,19,40,29,43,4,11,10,1013,1011,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-07,21,25,19,40,26,35,4,7,9,1014,1012,1013,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-08,20,27,21,34,28,38,10,8,8,1014,1012,1014,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-09,20,27,21,39,28,36,11,10,10,1017,1014,1015,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-10,21,27,22,42,30,41,15,11,8,1017,1014,1016,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-11,22,30,24,43,34,48,9,3,7,1017,1013,1014,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-12,24,30,25,36,32,42,12,8,4,1015,1012,1014,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-13,24,30,25,37,30,41,14,8,4,1015,1012,1013,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-14,25,30,25,40,34,52,7,5,10,1015,1012,1014,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Clear
2018-01-15,26,30,25,38,32,44,6,9,9,1016,1012,1013,0.0,0.0,0.0,Sunny,Partly cloudy,Clear
2018-01-16,24,30,24,43,27,39,8,7,11,1014,1011,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-17,24,29,23,41,25,39,7,12,12,1014,1011,1013,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-18,23,30,24,37,25,38,8,4,3,1015,1012,1013,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-19,23,29,24,38,28,39,10,4,4,1015,1013,1014,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-20,22,30,24,36,23,34,10,6,4,1015,1012,1013,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-21,24,31,25,36,21,36,4,1,3,1014,1011,1011,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-22,23,29,21,38,22,47,8,9,10,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-23,21,27,19,43,28,54,8,15,13,1013,1010,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-24,20,28,21,40,20,30,8,6,8,1014,1011,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-25,21,29,21,28,18,26,6,3,9,1013,1010,1011,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-26,21,30,22,25,17,30,9,3,5,1013,1010,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-01-27,23,29,22,28,19,38,6,5,8,1013,1010,1011,0.0,0.0,0.0,Sunny,Sunny,Clear
