observation,tempC_7to8,tempC_1to2,tempC_6to7,tempC_avg,humidity_7to8,humidity_1to2,humidity_6to7,humidity_avg,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,windspeedKmph_avg,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,pressureMB_avg,precipMM_7to8,precipMM_1to2,precipMM_6to7,precipMM_avg,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7,%_soil_moisure,soil_pH,water_pH,water_TDS_mgpl
2018-01-01,22,26,20,22,38,28,44,36,5,11,9,8,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,6.54,6.69,1709.0
2018-01-02,21,28,21,23,39,25,38,34,10,4,6,6,1012,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,7.23,7.43,1708.0
2018-01-03,20,28,22,23,41,27,45,37,12,5,4,7,1014,1011,1013,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,7.05,7.67,1707.0
2018-01-04,22,28,21,23,39,26,49,38,6,4,8,6,1015,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,6.52,8.44,1709.0
2018-01-05,22,27,20,23,43,27,44,38,4,7,10,7,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,7.2,7.26,1708.0
2018-01-06,22,26,19,22,40,29,43,37,4,11,10,8,1013,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,6.73,7.13,1708.0
2018-01-07,21,25,19,21,40,26,35,33,4,7,9,6,1014,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,6.64,8.07,1709.0
2018-01-08,20,27,21,22,34,28,38,33,10,8,8,8,1014,1012,1014,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,7.28,8.15,1709.0
2018-01-09,20,27,21,22,39,28,36,34,11,10,10,10,1017,1014,1015,1015,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,6.52,6.78,1710.0
2018-01-10,21,27,22,23,42,30,41,37,15,11,8,11,1017,1014,1016,1015,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,6.74,8.29,1710.0
2018-01-11,22,30,24,25,43,34,48,41,9,3,7,6,1017,1013,1014,1014,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,6.91,8.1,1707.0
2018-01-12,24,30,25,26,36,32,42,36,12,8,4,8,1015,1012,1014,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,6.92,7.58,1709.0
2018-01-13,24,30,25,26,37,30,41,36,14,8,4,8,1015,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,7.19,8.05,1707.0
2018-01-14,25,30,25,26,40,34,52,42,7,5,10,7,1015,1012,1014,1013,0.0,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Clear,41,6.73,7.99,1710.0
2018-01-15,26,30,25,27,38,32,44,38,6,9,9,8,1016,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Partly cloudy,Clear,42,6.81,6.59,1630.2
2018-01-16,24,30,24,26,43,27,39,36,8,7,11,8,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,6.83,6.8,1707.0
2018-01-17,24,29,23,25,41,25,39,35,7,12,12,10,1014,1011,1013,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,7.15,8.4,1707.0
2018-01-18,23,30,24,25,37,25,38,33,8,4,3,5,1015,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,7.4,8.34,1709.0
2018-01-19,23,29,24,25,38,28,39,35,10,4,4,6,1015,1013,1014,1014,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,6.84,6.51,1709.0
2018-01-20,22,30,24,25,36,23,34,31,10,6,4,6,1015,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,6.84,6.98,1710.0
2018-01-21,24,31,25,26,36,21,36,31,4,1,3,2,1014,1011,1011,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,40,6.86,7.87,1710.0
2018-01-22,23,29,21,24,38,22,47,35,8,9,10,9,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,7.05,7.72,1707.0
2018-01-23,21,27,19,22,43,28,54,41,8,15,13,12,1013,1010,1012,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,6.77,7.46,1710.0
2018-01-24,20,28,21,23,40,20,30,30,8,6,8,7,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,6.84,8.31,1707.0
2018-01-25,21,29,21,23,28,18,26,24,6,3,9,6,1013,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,7.16,7.58,1707.0
2018-01-26,21,30,22,24,25,17,30,24,9,3,5,5,1013,1010,1012,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,6.84,7.43,1710.0
2018-01-27,23,29,22,24,28,19,38,28,6,5,8,6,1013,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,7.41,7.41,1708.0
2018-01-28,24,29,22,25,32,22,37,30,3,6,9,6,1014,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,6.84,7.5,1709.0
2018-01-29,23,31,25,26,28,18,26,24,9,5,5,6,1016,1013,1014,1014,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,7.26,6.83,1708.0
2018-01-30,22,30,23,25,30,17,21,22,12,12,9,11,1016,1013,1014,1014,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,6.55,7.78,1627.35
2018-01-31,24,32,25,27,25,14,20,19,8,6,5,6,1016,1013,1014,1014,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,7.18,8.26,1708.0
2018-02-01,24,33,26,27,24,15,26,21,9,3,1,4,1016,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,6.75,8.4,1707.0
2018-02-02,26,32,24,27,25,16,28,23,4,4,11,6,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,7.15,8.04,1709.0
2018-02-03,25,33,24,27,25,15,28,22,8,4,10,7,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,7.49,6.84,1710.0
2018-02-05,24,32,25,27,31,18,31,26,9,5,2,5,1015,1012,1014,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,6.86,7.24,1709.0
2018-02-06,25,31,24,26,31,20,34,28,8,3,10,7,1016,1013,1014,1014,0.0,0.0,0.0,0.0,Sunny,Sunny,Partly cloudy,40,6.85,8.01,1708.0
2018-02-07,24,29,23,25,32,24,40,32,9,7,10,8,1014,1012,1013,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,7.29,8.49,1710.0
2018-02-08,23,28,21,24,43,22,45,36,6,16,10,10,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,6.92,8.27,1707.0
2018-02-09,22,28,22,24,39,15,29,27,2,9,9,6,1014,1011,1013,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,6.83,6.73,1708.0
2018-02-10,23,28,23,24,29,27,37,31,6,17,8,10,1014,1011,1014,1013,0.0,0.0,0.0,0.0,Sunny,Partly cloudy,Partly cloudy,41,6.55,6.85,1707.0
2018-02-11,22,28,21,23,40,30,62,44,6,19,12,12,1015,1012,1013,1013,0.0,0.0,0.0,0.0,Partly cloudy,Sunny,Clear,40,7.11,8.47,1710.0
2018-02-12,21,28,21,23,54,20,43,39,2,10,10,7,1017,1015,1016,1016,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,7.07,7.43,1710.0
2018-02-13,22,30,24,25,39,18,27,28,7,4,8,6,1020,1016,1017,1017,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,7.0,7.67,1707.0
2018-02-14,23,30,25,26,36,30,40,35,19,15,13,15,1020,1016,1017,1017,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,6.72,6.87,1709.0
2018-02-15,23,31,26,26,41,28,37,35,16,5,4,8,1019,1016,1017,1017,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,40,6.88,6.77,1633.05
2018-02-16,25,31,25,27,39,24,31,31,6,8,14,9,1019,1015,1015,1016,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,6.54,7.34,1710.0
2018-02-17,26,31,24,27,29,16,26,23,4,11,11,8,1015,1011,1011,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,40,6.59,6.82,1710.0
2018-02-18,26,32,25,27,23,14,20,19,5,10,12,9,1013,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,7.34,8.23,1709.0
2018-02-19,27,33,25,28,20,15,24,19,6,5,12,7,1013,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,7.21,7.87,1707.0
2018-02-20,27,33,25,28,21,14,25,20,8,6,10,8,1013,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,7.13,7.48,1709.0
2018-02-21,26,33,27,28,23,17,25,21,9,7,7,7,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,7.13,8.32,1710.0
2018-02-22,27,34,27,29,23,18,25,22,8,3,8,6,1012,1008,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,41,7.39,8.02,1709.0
2018-02-23,28,34,27,29,23,17,29,23,8,3,9,6,1012,1009,1011,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,43,6.71,8.31,1707.0
2018-02-24,28,33,27,29,28,21,30,26,7,4,9,6,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,7.4,7.37,1709.0
2018-02-25,28,34,29,30,28,18,25,23,9,8,1,6,1015,1012,1012,1013,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,40,6.57,8.23,1709.0
2018-02-26,28,34,28,30,28,18,27,24,9,6,9,8,1014,1011,1011,1012,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,45,7.18,8.43,1708.0
