observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
01-01-2023,24,58,13,1015,0,5,9.5,47
02-01-2023,25,58,8,1014,0.1,4,9,48
03-01-2023,24,63,6,1013,0,5,10,47
04-01-2023,24,64,0,1012,0,5,10.4,44
05-01-2023,24,65,6,1012,0,5,10,45
06-01-2023,24,54,3,1015,0,5,10.7,48
07-01-2023,23,61,7,1015,0,5,9,50
08-01-2023,23,49,9,1013,0,5,9.8,45
09-01-2023,24,41,9,1015,0,5,9.5,47
10-01-2023,24,44.5,4,1014,0,5,10,48
11-01-2023,24,56,6,1012,0.2,4,10.5,48
12-01-2023,25,65,9,1011,0,5,10.5,45
13-01-2023,25,57,6,1013,0,5,9.7,46
14-01-2023,25,47.5,15,1012,0,5,9.8,48
15-01-2023,24,62,11,1010,0,5,9.5,45
16-01-2023,24,62.5,9,1011,0,5,10.2,45
17-01-2023,24,63.5,3,1012,0,5,9.5,45
18-01-2023,24,63,6,1012,0,5,9.7,46
19-01-2023,24,65.5,4,1012,0,5,9.8,47
20-01-2023,24,59.5,8,1012,0,5,9.8,45
21-01-2023,25,49,7,1012,0.1,4,9.5,46
22-01-2023,24,49,11,1012,0,5,10.1,46
23-01-2023,25,53,13,1011,0,5,9.5,45
24-01-2023,25,55,13,1012,0,5,10.5,45
25-01-2023,25,55,15,1011,0,5,9.5,45
26-01-2023,25,60.5,10,1010,0,5,9.7,46
27-01-2023,25,61,7,1009,0,5,9.5,47
28-01-2023,24,66.5,6,1008,0,5,9.8,48
29-01-2023,25,76,8,1008,0,5,10,49
30-01-2023,26,64,9,1012,0.1,4,9.5,50
