observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2021-03-01,29,22,11,1011,0.0,4,10.7,34
2021-03-03,31,12,5,1010,0.0,5,10.7,30
2021-03-04,31,12,10,1010,0.0,5,10.7,34
2021-03-05,31,13,9,1011,0.0,5,10.7,33
2021-03-06,30,16,10,1011,0.0,5,10.7,30
2021-03-07,29,19,12,1011,0.0,5,10.7,30
2021-03-08,31,19,5,1011,0.0,5,10.7,32
2021-03-09,30,18,9,1011,0.0,5,10.7,33
2021-03-10,31,20,6,1011,0.0,4,10.7,32
2021-03-11,30,20,9,1010,0.0,4,10.7,32
2021-03-12,29,22,9,1012,0.0,4,10.7,30
2021-03-13,29,22,12,1012,0.0,4,10.7,34
2021-03-14,31,16,9,1010,0.0,4,10.7,30
2021-03-15,32,15,7,1008,0.0,5,10.7,34
2021-03-16,31,16,12,1008,0.0,5,10.7,30
2021-03-17,31,17,10,1008,0.0,5,10.7,32
2021-03-18,31,19,7,1008,0.0,4,10.7,33
2021-03-19,30,22,13,1009,0.0,4,10.7,34
2021-03-20,30,21,12,1008,0.0,4,10.7,30
2021-03-21,31,17,6,1008,0.0,4,10.7,35
2021-03-22,30,17,9,1009,0.0,4,10.7,31
2021-03-23,30,21,9,1010,0.0,4,10.7,32
2021-03-24,31,16,10,1010,0.0,4,10.7,35
2021-03-25,31,11,12,1009,0.0,5,10.7,32
2021-03-26,33,8,11,1009,0.0,5,10.7,35
2021-03-27,34,9,11,1006,0.0,5,10.7,34
2021-03-28,35,11,13,1005,0.0,5,10.7,32
2021-03-29,33,15,11,1008,0.0,5,10.7,32
2021-03-30,31,17,19,1007,0.0,5,10.7,31
2021-03-31,30,24,18,1007,0.0,5,11.2,30
