observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2023-01-01,24,58.0,13,1015,0.0,5,9.5,47
2023-01-02,25,58.0,8,1014,0.1,4,9.0,48
2023-01-03,24,63.0,6,1013,0.0,5,10.0,47
2023-01-04,24,64.0,0,1012,0.0,5,10.4,44
2023-01-05,24,65.0,6,1012,0.0,5,10.0,45
2023-01-06,24,54.0,3,1015,0.0,5,10.7,48
2023-01-07,23,61.0,7,1015,0.0,5,9.0,50
2023-01-08,23,49.0,9,1013,0.0,5,9.8,45
2023-01-09,24,41.0,9,1015,0.0,5,9.5,47
2023-01-10,24,44.5,4,1014,0.0,5,10.0,48
2023-01-11,24,56.0,6,1012,0.2,4,10.5,48
2023-01-12,25,65.0,9,1011,0.0,5,10.5,45
2023-01-13,25,57.0,6,1013,0.0,5,9.7,46
2023-01-14,25,47.5,15,1012,0.0,5,9.8,48
2023-01-15,24,62.0,11,1010,0.0,5,9.5,45
2023-01-16,24,62.5,9,1011,0.0,5,10.2,45
2023-01-17,24,63.5,3,1012,0.0,5,9.5,45
2023-01-18,24,63.0,6,1012,0.0,5,9.7,46
2023-01-19,24,65.5,4,1012,0.0,5,9.8,47
2023-01-20,24,59.5,8,1012,0.0,5,9.8,45
2023-01-21,25,49.0,7,1012,0.1,4,9.5,46
2023-01-22,24,49.0,11,1012,0.0,5,10.1,46
2023-01-23,25,53.0,13,1011,0.0,5,9.5,45
2023-01-24,25,55.0,13,1012,0.0,5,10.5,45
2023-01-25,25,55.0,15,1011,0.0,5,9.5,45
2023-01-26,25,60.5,10,1010,0.0,5,9.7,46
2023-01-27,25,61.0,7,1009,0.0,5,9.5,47
2023-01-28,24,66.5,6,1008,0.0,5,9.8,48
2023-01-29,25,76.0,8,1008,0.0,5,10.0,49
2023-01-30,26,64.0,9,1012,0.1,4,9.5,50
